Column1,Date,Startup,Industry,Location,Investor,Type,Amount
509,11-07-2018,Sambandh,Software,Rourkela,Base of Pyramid Asia (BOPA) Pte Ltd,Unknown,2500000
510,12-07-2018,19th mile,Software,Gurgaon,"Rishi Vasudev, Excelsior Investments, Ritesh Vohra, Praveer Kumar, Prashant Gupta and Others",Seed,180000
511,12-07-2018,5th Vital,Healthcare & Hospitality,Bangalore,Brand Capital and Others,Seed,500000
512,13-07-2018,MEngage,Healthcare & Hospitality,Jaipur,"Siddharth Agarwal, Mahavir Sharma, Amit Singal, 100 Co-founders Lab and others.",Seed,175000
513,17-07-2018,Ofbusiness,Finance,Gurgaon,"Creation Investments, Falcon Edge, Matrix Partners India and Zodius Capital ",Unknown,29000000
514,17-07-2018,Cars24,Software,Gurgaon,"Kingsway FCI Fund, KCK Global & Others",Unknown,49700000
515,18-07-2018,The Ken,Software,Bangalore,Omidyar Network & Others,Seed,1500000
516,19-07-2018,Book My Show,Software,Mumbai,"TPG Growth, The Rise Fund & Others",Unknown,100000000
517,20-07-2018,HousingMan,Software,Bangalore,Secret,Seed,1500000
518,21-07-2018,PaySense,Software,Mumbai,PayU & Others,Unknown,18000000
520,23-07-2018,VTION,Software,Gurgaon,"AngelList, Rahul Khanna, Rajeev Arora and Ram Ramsundar.",Seed,280000
521,23-07-2018,Log9 Materials,Software,Bangalore,"Metaform Ventures, Hemant Luthra, Micro venture capital firm GEMS Partners and Others",Seed,436000
522,24-07-2018,kidovators,Education,Bangalore,Gray Matters,Seed,180000
523,24-07-2018,Digit,Software,Pune,Fairfax,Unknown,45000000
524,25-07-2018,Black Soil,Finance,Mumbai,"Allcargo Logistics, Navneet Education and Mahavir Agency",Unknown,17000000
525,25-07-2018,Trell,Software,Bangalore,"BeeNext , WEH Ventures and Sprout Ventures",Seed,1250000
526,25-07-2018,iqlect,Software,Bangalore,Ventureast and Exfinity,Seed,2500000
527,26-07-2018,Entropik,Software,Bangalore,"Bharat Innovation, IDFC-Parampara Capital, Arthavida Ventures, Jitendra Gupta & Others",Seed,1100000
529,26-07-2018,TheCapitalNet,Finance,Hyderabad,Lindwall Family Investments LLC (LFI),Unknown,500000
530,30-07-2018,Shuttl,Software,Gurgaon,Amazon Alexa Fund & Dentsu Ventures,Unknown,11000000
531,30-07-2018,Cure Fit,Software,Bangalore,"IDG Ventures, Accel Partners, Kalaari Capital and Others",Unknown,120000000
532,31-07-2018,Five Star Group,Finance,Chennai,"TPG, Norwest Venture Partners, Sequoia Capital & Matrix Partners",Unknown,100000000
533,31-07-2018,Healthsignz,Healthcare & Hospitality,Hyderabad,Kantilal Patel,Seed,5000000
535,02-10-2018,Origo Commodities India Pvt. Ltd,Logistics,Hyderabad,"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund ",Seed,11000000
536,04-10-2018,Grover Zampa,Consumables,Mumbai,Ravi Viswanathan,Unknown,8200000
537,05-10-2018,Droom,Automobile,Gurgaon,ZigExN,Series E,3000000
538,11-10-2018,Innov8,Real Estate,Delhi,Credence Family Office,Seed,4000000
